id,tema,pregunta,a,b,c,d,correcta,ref
T02-0235,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0236,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0237,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0238,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0239,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0240,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0241,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0242,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0243,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0244,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0245,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0246,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0247,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0248,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0249,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0250,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0251,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0252,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0253,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0254,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0255,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0256,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0257,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0258,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0259,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0260,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0261,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0262,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0263,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0264,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0265,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0266,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0267,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0268,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0269,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0270,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0271,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0272,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0273,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0274,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0275,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0276,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0277,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0278,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0279,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0280,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0281,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0282,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0283,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0284,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0285,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0286,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0287,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0288,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0289,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0290,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0291,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0292,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0293,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0294,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0295,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0296,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0297,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0298,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0299,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0300,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0301,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0302,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0303,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0304,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0305,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0306,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0307,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0308,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0309,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0310,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0311,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0312,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0313,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0314,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0315,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0316,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0317,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0318,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0319,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0320,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0321,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0322,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0323,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0324,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0325,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0326,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0327,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0328,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0329,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0330,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0331,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0332,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0333,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0334,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0335,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0336,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0337,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0338,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0339,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0340,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0341,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0342,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
